name,price,sold,product_link,shipping
For Tecno Spark 8C Case Tecno Spark 9 Case Silicone Frame Clear Tecno Spark Go 2022 Cover KG5k KG5j KG5p Frosted Translucent ,"NGN1,597.53",73 sold,https://www.aliexpress.com/item/1005004409083508.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-33&pdp_npi=4%40dis%21NGN%211597.53%211597.53%21%21%211.99%21%21%40211b61d017019362331317358e6a30%2112000033036627040%21sea%21NG%210%21AB&curPageLogUid=sKjmtYXcN12s,Free shipping
Realme 11 Pro Plus 5G Smartphone Dimensity 7050 6.7'' AMOLED 200 MP Camera 5000 mAh NFC Cell Phone ,"NGN259,900.15",1 sold,https://www.aliexpress.com/item/1005005557536593.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&aem_p4p_detail=202312070003533752372408418440000315202&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-34&pdp_npi=4%40dis%21NGN%21399848.86%21259900.15%21%21%21498.08%21%21%40211b61d017019362331317358e6a30%2112000035824356528%21sea%21NG%210%21AB&curPageLogUid=ZXASnhpM3yYA&search_p4p_id=202312070003533752372408418440000315202_11,"+Shipping: NGN17,982.28"
For Tecno Spark 7 Case Tecno Spark 7T Cover Camera Protection KF6 KF6j KF6i KF6k Phone Case 7t hard Matte Transparent Shockproof ,"NGN1,597.53",32 sold,https://www.aliexpress.com/item/1005003689702183.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-35&pdp_npi=4%40dis%21NGN%211597.53%211597.53%21%21%211.99%21%21%40211b61d017019362331317358e6a30%2112000034954119025%21sea%21NG%210%21AB&curPageLogUid=DZ55lBHLeOaS,Free shipping
Case For Tecno Camon 20 Pro 4G 5G Soft Phone Case Cute Panda Dinosaur Bumper Liquid Silicone Cover For Camon20 20Pro Coque Funda ,NGN393.36,141 sold,https://www.aliexpress.com/item/1005006006977236.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-36&pdp_npi=4%40dis%21NGN%211597.53%21393.36%21%21%211.99%21%21%40211b61d017019362331317358e6a30%2112000035292996567%21sea%21NG%210%21AB&curPageLogUid=WE8A1MVivlNB,Free shipping
Non-slip Holder for Tecno Spark 10 C Pro 10Pro Pova 5 Camon 20 Pro KI7 KI8 KI5k 5G CK8n LE8 Wallet Clip Leather Case Flip Cover ,NGN393.36,76 sold,https://www.aliexpress.com/item/1005005599728253.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-37&pdp_npi=4%40dis%21NGN%214051.79%21393.36%21%21%2136.00%21%21%40211b61d017019362331317358e6a30%2112000033702973787%21sea%21NG%210%21AB&curPageLogUid=yFoxhl60Rn8D,Free shipping
6.53inch Black For Tecno Camon 15 Pro CD8 LCD Display Touch Screen Digitizer Assembly Replacement ,"NGN9,809.98",,https://www.aliexpress.com/item/1005006280789810.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-38&pdp_npi=4%40dis%21NGN%219809.98%219809.98%21%21%2112.22%21%21%40211b61d017019362331317358e6a30%2112000036593374746%21sea%21NG%210%21AB&curPageLogUid=dEsVoLisDUet,"+Shipping: NGN5,073.57"
Anti Spy Tempered Glas For Tecno 20 Pro Premier 5G Privacy Screen Protector For Tecno Camon 20Pro 20Premier Glass Film ,"NGN1,898.71",38 sold,https://www.aliexpress.com/item/1005006048919392.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&aem_p4p_detail=202312070003533752372408418440000315202&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-39&pdp_npi=4%40dis%21NGN%212712.45%211898.71%21%21%2124.10%21%21%40211b61d017019362331317358e6a30%2112000035488183654%21sea%21NG%210%21AB&curPageLogUid=rdAXKFOh3fj2&search_p4p_id=202312070003533752372408418440000315202_12,Free shipping
"6.6""Original For Tecno Camon 15Pro CD8 LCD Display Touch Digitizer Assembly Replacement Phone Screen Tecno Camon 15 Pro lcd ","NGN11,831.23",,https://www.aliexpress.com/item/1005006280789764.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-40&pdp_npi=4%40dis%21NGN%2116432.27%2111831.23%21%21%21146.00%21%21%40211b61d017019362331317358e6a30%2112000036593433605%21sea%21NG%210%21AB&curPageLogUid=s2Fi8bKtOAG7,"+Shipping: NGN1,658.98"
for TECNO POVA 5 LH7n POVA 5 Pro POVA5 Pro POVA 5Pro Shockproof Silicone Ultra Thin Clear Soft TPU Phone Case Card Pocket ,"NGN1,332.61",,https://www.aliexpress.com/item/1005006308500479.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-41&pdp_npi=4%40dis%21NGN%211517.25%211332.61%21%21%211.89%21%21%40211b61d017019362331317358e6a30%2112000036703675216%21sea%21NG%210%21AB&curPageLogUid=LIWI6ao0QhNU,"+Shipping: NGN3,379.71"
Xundd For Tecno Pova Neo 3 Case Transparent Phone Cover Shockproof Protective Shell Clear Cases For infinix Tecno Pova 4 5 Neo3 ,"NGN6,381.57",,https://www.aliexpress.com/item/1005006259683670.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-42&pdp_npi=4%40dis%21NGN%216381.57%216381.57%21%21%2156.70%21%21%40211b61d017019362331317358e6a30%2112000036505333620%21sea%21NG%210%21AB&curPageLogUid=35sDiz5scNK0,Free shipping
S2 colorful song Soft Silicone Tpu Cover phone Case for Tecno Camon 18P ,"NGN1,533.31",,https://www.aliexpress.com/item/1005006258727600.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-43&pdp_npi=4%40dis%21NGN%211725.98%211533.31%21%21%212.15%21%21%40211b61d017019362331317358e6a30%2112000036501665875%21sea%21NG%210%21AB&curPageLogUid=7x9PCkQ5NDGs,Free shipping
2.5D Tempered Glass For Tecno Camon 15 15 Air Protective Film Explosion-proof Protector For Tecno Camon 15 Premier 15 pro ,"NGN2,392.29",3 sold,https://www.aliexpress.com/item/1005003753562254.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&aem_p4p_detail=202312070003533752372408418440000315202&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-44&pdp_npi=4%40dis%21NGN%212817.76%212392.29%21%21%213.51%21%21%40211b61d017019362331317358e6a30%2112000027046538230%21sea%21NG%210%21AB&curPageLogUid=ZUy16Fd70CJZ&search_p4p_id=202312070003533752372408418440000315202_13,+Shipping: NGN473.64
For Tecno Spark GO 2024 Case For Spark GO 2023 TPU Soft Silicone Phone Case For Spark GO2022 Back Cover Coque Capa Bumper Marble ,"NGN1,428.95",,https://www.aliexpress.com/item/1005006257171239.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-45&pdp_npi=4%40dis%21NGN%212167.51%211428.95%21%21%212.70%21%21%40211b61d017019362331317358e6a30%2112000036495327464%21sea%21NG%210%21AB&curPageLogUid=1mviuBzjveE5,+Shipping: NGN256.89
"6.35"" OLED / TFT Touch Screen Digitizer LCD Display Assembly For Tecno Camon 12 Pro CC9 For Tecno Pouvoir 3 Plus LB8 ","NGN15,194.22",,https://www.aliexpress.com/item/1005006288762783.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-46&pdp_npi=4%40dis%21NGN%2115194.22%2115194.22%21%21%21135.00%21%21%40211b61d017019362331317358e6a30%2112000036625122579%21sea%21NG%210%21AB&curPageLogUid=mknMXIsgv2Xk,+Shipping: NGN758.59
